frame,time_sec,landmark_id,x,y,z,visibility,frame_rel
105,3.5,15,0.8007844090461731,0.5160744786262512,0.1242177933454513,0.7687141299247742,0
105,3.5,16,0.279719203710556,0.564196765422821,-0.0497108362615108,0.8294459581375122,0
106,3.533333333333333,15,0.8000535368919373,0.5193232893943787,0.1622394174337387,0.7836223840713501,1
106,3.533333333333333,16,0.2808732986450195,0.5772778391838074,0.0422533638775348,0.8446599245071411,1
107,3.566666666666667,15,0.8063884973526001,0.5248520970344543,0.0461096130311489,0.7978460192680359,2
107,3.566666666666667,16,0.2821197807788849,0.5867854356765747,-0.0325066111981868,0.8586760759353638,2
108,3.6,15,0.8071560263633728,0.5298543572425842,0.0074581298977136,0.8085825443267822,3
108,3.6,16,0.2846461236476898,0.596103847026825,-0.1496668756008148,0.8720216751098633,3
109,3.633333333333333,15,0.807382345199585,0.5359363555908203,-0.0302046537399292,0.821283757686615,4
109,3.633333333333333,16,0.2881906926631927,0.5995003581047058,-0.1757964193820953,0.8841775059700012,4
110,3.6666666666666665,15,0.812436580657959,0.5416913628578186,-0.0942200347781181,0.8260034322738647,5
110,3.6666666666666665,16,0.2899357378482818,0.6075639128684998,-0.1958115994930267,0.8945886492729187,5
111,3.7,15,0.8157152533531189,0.546978235244751,0.0825535729527473,0.8110674023628235,6
111,3.7,16,0.2906467616558075,0.6122315526008606,-0.0701457038521766,0.903529405593872,6
112,3.733333333333333,15,0.819722592830658,0.5544077157974243,0.0850625336170196,0.8157515525817871,7
112,3.733333333333333,16,0.2942239642143249,0.6187865734100342,-0.1054807677865028,0.912386119365692,7
113,3.7666666666666666,15,0.8240700960159302,0.558928906917572,0.0863840952515602,0.8114215135574341,8
113,3.7666666666666666,16,0.3011191189289093,0.6239832639694214,-0.1737687736749649,0.920050084590912,8
114,3.8,15,0.8266874551773071,0.5622836947441101,0.1081715375185012,0.8052499890327454,9
114,3.8,16,0.3017767667770386,0.6289730668067932,-0.1199501678347587,0.9266867637634276,9
115,3.8333333333333335,15,0.8240593075752258,0.5641379356384277,-0.0603804662823677,0.8073427677154541,10
115,3.8333333333333335,16,0.3062461018562317,0.634155809879303,-0.2043292075395584,0.9328925609588624,10
116,3.8666666666666663,15,0.8227086663246155,0.5693779587745667,-0.1123256087303161,0.805133044719696,11
116,3.8666666666666663,16,0.3073475956916809,0.6390977501869202,-0.149177685379982,0.9379141926765442,11
117,3.9,15,0.8252744674682617,0.5761495232582092,-0.1462794095277786,0.8046297430992126,12
117,3.9,16,0.3076866865158081,0.6464712023735046,-0.1596005856990814,0.9422982931137084,12
118,3.933333333333333,15,0.8254354596138,0.5786305665969849,-0.1229586377739906,0.8074126243591309,13
118,3.933333333333333,16,0.3122366666793823,0.6476829648017883,-0.1759809851646423,0.9449884295463562,13
119,3.966666666666667,15,0.8252274990081787,0.5818394422531128,-0.0883163213729858,0.8048384189605713,14
119,3.966666666666667,16,0.3153600394725799,0.6528350710868835,-0.1747854948043823,0.9471123218536376,14
120,4.0,15,0.8269102573394775,0.5881921648979187,-0.0754879340529441,0.7998644709587097,15
120,4.0,16,0.315014123916626,0.6553859710693359,-0.1973011195659637,0.949475109577179,15
121,4.033333333333333,15,0.827975869178772,0.5920944809913635,-0.1345052570104599,0.8021325469017029,16
121,4.033333333333333,16,0.3147697746753692,0.6582480072975159,-0.2354473769664764,0.9521052241325378,16
122,4.066666666666666,15,0.8287414312362671,0.5943062901496887,-0.1851407289505005,0.7790616154670715,17
122,4.066666666666666,16,0.3153730630874634,0.6610327959060669,-0.2705010771751404,0.9526807069778442,17
123,4.1,15,0.8291366100311279,0.5973004102706909,-0.2708146274089813,0.7458528280258179,18
123,4.1,16,0.3156903982162475,0.6629921197891235,-0.2961976826190948,0.9523897767066956,18
124,4.133333333333334,15,0.8300159573554993,0.6006900072097778,-0.191094622015953,0.742128849029541,19
124,4.133333333333334,16,0.3158416748046875,0.664232075214386,-0.2555970847606659,0.9550434350967408,19
125,4.166666666666667,15,0.8292831778526306,0.6018876433372498,-0.2411064952611923,0.7371883392333984,20
125,4.166666666666667,16,0.3162138760089874,0.6676833629608154,-0.3063978254795074,0.9570704698562622,20
126,4.2,15,0.8275806903839111,0.6048771739006042,-0.2892633378505707,0.7307705283164978,21
126,4.2,16,0.3169292509555816,0.6711464524269104,-0.2834021747112274,0.9593688249588012,21
127,4.233333333333333,15,0.8266853094100952,0.6061824560165405,-0.3394887149333954,0.731652021408081,22
127,4.233333333333333,16,0.3179907202720642,0.6693306565284729,-0.3242063820362091,0.9615368843078612,22
128,4.266666666666667,15,0.826606810092926,0.6082419157028198,-0.3169344067573547,0.7280617356300354,23
128,4.266666666666667,16,0.3191706538200378,0.6689903736114502,-0.3188918828964233,0.963576316833496,23
129,4.3,15,0.826776385307312,0.608309805393219,-0.2704308927059173,0.7351105213165283,24
129,4.3,16,0.3192224502563476,0.6689847707748413,-0.3569317460060119,0.9655301570892334,24
130,4.333333333333333,15,0.8272596001625061,0.6074656844139099,-0.2908443808555603,0.7332446575164795,25
130,4.333333333333333,16,0.3185439705848694,0.6684496402740479,-0.3517524600028991,0.9679384827613832,25
131,4.366666666666666,15,0.8274610042572021,0.606269359588623,-0.2729681134223938,0.7301038503646851,26
131,4.366666666666666,16,0.318473070859909,0.6677014231681824,-0.3256357610225677,0.9699407815933228,26
132,4.4,15,0.8288238048553467,0.6045305132865906,-0.1958065629005432,0.7431230545043945,27
132,4.4,16,0.3183939456939697,0.6672029495239258,-0.3148157894611358,0.9718213677406312,27
133,4.433333333333334,15,0.8294978141784668,0.60142582654953,-0.2117534130811691,0.7573297619819641,28
133,4.433333333333334,16,0.3185593783855438,0.6636316776275635,-0.3102729916572571,0.9735476970672609,28
